"shape_id","route_id","via_variant","trp_direction","trip_headsign"
"290069","29","5","Outbound","Mattapan Station via Blue Hill Ave."
"290070","29","1","Outbound","Mattapan Station via Franklin Field Housing"
"290071","29","_","Outbound","Mattapan Station via Blue Hill Ave."
"300047","30","2","Inbound","Forest Hills Station via Roslindale Square"
"300048","30","2","Outbound","Mattapan Station via Roslindale Square"
"310068","31","_","Inbound","Forest Hills Station via Morton St."
"310069","31","_","Outbound","Mattapan Station via Morton St."
"320066","32","_","Inbound","Forest Hills Station via Hyde Park Ave."
"320067","32","_","Outbound","Cleary Square via Hyde Park Ave."
"320080","32","5ou","Outbound","River St. & Milton St. via Hyde Park Ave. & River St."
"320120","32","1","Outbound","Wolcott Square via Hyde Park Ave."
"320121","32","1","Inbound","Forest Hills Station via Hyde Park Ave."
"320123","32","9","Outbound","Wolcott Sq via Forest Hills"
"320124","32","9","Inbound","Townsend & Humboldt via Forest Hills"
"320125","32","3","Outbound","Wolcott Square via Hyde Park Ave."
"320126","32","3","Inbound","Forest Hills Station via Hyde Park Ave."
"320128","32","5","Inbound","Forest Hills Station via River St. & Hyde Park Ave."
"320129-1","32","C","Inbound","Ave Louis Pasteur via Forest Hills Station"
"320129-2","39","H","Inbound","Avenue Louis Pasteur"
"320130-1","39","Y","Outbound","Wolcott Sq via Forest Hills"
"320130-2","32","B","Outbound","Wolcott Sq"
"3250034","325","_","Outbound","Elm St. via I-93 (Express)"
"3250035","325","2","Outbound","Roosevelt Circle via I-93 (Express)"
"3250036","325","1","Inbound","Haymarket via I-93 (Express)"
"3250037","325","1","Outbound","Elm St. via I-93 (Express)"
"3250038","325","_","Inbound","Haymarket via I-93 (Express)"
"3250051","325","3","Inbound","Haymarket via I-93 (Express)"
"3250054","325","3","Outbound","Redstone via Medford (Express)"
"3260028","326","1","Outbound","West Medford via I-93 (Express)"
"3260032","326","2","Outbound","Medford Square via I-93 (Express)"
"3260045","326","_","Outbound","West Medford via I-93 (Express)"
"3260066","326","1","Inbound","Haymarket via I-93 (Express)"
"3260067","326","_","Inbound","Haymarket via I-93 (Express)"
"330049","33","4","Outbound","River St. & Milton St. via Hyde Park Ave. & River St."
"330058","33","6","Outbound","River St. & Milton St. via West Milton St."
"330061","33","5","Outbound","River St. & Milton St. via River St."
"330062","33","1","Outbound","River St. & Milton St. via River St."
"330065","33","5","Inbound","Mattapan Station via Reservation"
"330066","33","6","Inbound","Mattapan Station via West Milton St."
"330067","33","1","Inbound","Mattapan Station via West Milton St."
"330070","33","7","Inbound","Forest Hills Station via Cleary Square"
"330071","33","4","Inbound","Forest Hills Station via Cleary Square"
"340147","34","_","Outbound","Dedham Line via Washington St."
"340148","34","_","Inbound","Forest Hills via Washington St."
"340149","34","K","Inbound","Townsend & Humboldt via Forest Hills"
"340150","34","K","Outbound","Dedham Line via Forest Hills"
"340155-1","34","B","Inbound","Avenue Louis Pasteur via Forest Hills"
"340155-2","39","H","Inbound","Avenue Louis Pasteur"
"340156-1","39","X","Outbound","Dedham Line via Forest Hills"
"340156-2","34","A","Outbound","Dedham Line"
"34E0115","34E","6","Outbound","East Walpole via Washington St."
"34E0116","34E","6","Inbound","Forest Hills"
"34E0119","34E","9","Outbound","Walpole Center via Dedham Mall and Walpole St"
"34E0120","34E","7","Outbound","Walpole Center via Dedham Mall"
"34E0121","34E","7","Inbound","Forest Hills via Dedham Mall"
"34E0122","34E","5","Outbound","Walpole Center via Washington St. (Express to Lagrange)"
"34E0123","34E","1","Inbound","Forest Hills"
"34E0124","34E","4","Outbound","Walpole Center"
"34E0125","34E","2","Outbound","Walpole Center via Walpole St."
"34E0126","34E","9","Inbound","Forest Hills via Mall & Walpole St."
"34E0127","34E","T","Outbound","Walpole Center via Upland Woods and Walpole St"
"34E0128","34E","U","Outbound","Walpole Center via Dedham Mall and Upland Woods"
"34E0129","34E","1","Outbound","Walpole Center"
"34E0130","34E","5","Inbound","Forest Hills"
"34E0131","34E","U","Inbound","Forest Hills via Upland Woods and Dedham Mall"
"34E0132","34E","3","Outbound","Walpole Center via Dedham Mall (Express to Lagrange)"
"34E0133","34E","8","Outbound","East Walpole via Dedham Mall"
"34E0134","34E","Y","Inbound","Forest Hills via Upland Woods and Dedham Mall"
"34E0135","34E","8","Inbound","Forest Hills via Dedham Mall"
"34E0136","34E","4","Inbound","Forest Hills"
"3500111","350","5","Outbound","Burlington via Mall"
"3500113","350","3","Outbound","Burlington Mall via Arlington Center"
"3500114","350","4","Outbound","Burlington & Arlington Center"
"3500115","350","7","Outbound","Burlington via Middlesex Turnpike & Mall Rd."
"3500116","350","9","Outbound","Burlington & Arlington Center"
"3500117","350","9","Inbound","Arlington & Cambridge St."
"3500118","350","4","Inbound","Alewife Station & Arlington Center"
"3500119","350","5","Inbound","Alewife Station via Mall"
"350079","35","1","Outbound","Dedham Mall via Belgrade Ave."
"350080","35","1","Inbound","Forest Hills Station via Belgrade Ave."
"350081","35","3","Outbound","Dedham Mall via Centre St."
"350082","35","2","Inbound","Ave Louis Pasteur via Centre St."
"350083","35","_","Inbound","Forest Hills Station via Belgrade Ave."
"350084","35","_","Outbound","Stimson St. via Belgrade Ave."
"3510082","351","3","Inbound","Alewife Station via Mall Rd. (Express)"
"3510084","351","3ou","Outbound","Oak Park via Bedford Woods &  Mall Rd.(Express)"
"3520035","352","_","Inbound","Boston via I-93 (Express)"
"3520036","352","_","Outbound","Burlington via I-93 (Express)"
"3540033","354","5","Outbound","Woburn via Medford Square & I-93 (Express)"
"3540034","354","_","Inbound","Boston via Woburn Square & I-93 (Express)"
"3540035","354","_","Outbound","Woburn via Woburn Square & I-93 (Express)"
"3540036","354","5","Inbound","Boston via Medford Square & I-93 (Express)"
"3540037","354","4","Outbound","Burlington via Woburn Square & I-93 (Express)"
"3540047","354","3","Inbound","Boston via West Cummings & I-93 (Express)"
"3540048","354","3","Outbound","Woburn via West Cummings & I-93 (Express)"
"360144","36","9","Outbound","Charles River Loop via Forest Hills"
"360145","36","9","Inbound","Townsend & Humboldt via Forest Hills"
"360147","36","1ou","Outbound","Millennium Park via V.A. Hospital"
"360148","36","_","Outbound","Charles River via Belgrade Ave."
"360149","36","8","Inbound","Forest Hills Station via Belgrade Ave."
"360150","36","1","Inbound","Forest Hills Station via Belgrade Ave."
"360151","36","8","Outbound","V.A. Hospital via Belgrade Ave."
"360152","36","_","Inbound","Forest Hills Station via Belgrade Ave."
"360153","36","5","Inbound","Forest Hills Station via Belgrade Ave."
"360154","36","5ou","Outbound","Rivermoor Industrial Park via V.A. Hospital"
"360155-1","36","C","Inbound","Avenue Louis Pasteur via Forest Hills"
"360155-2","39","H","Inbound","Avenue Louis Pasteur"
"360156-1","39","W","Outbound","Charles River Loop via Forest Hills"
"360156-2","36","A","Outbound","Charles River Loop"
"370049","37","_","Outbound","Baker St. & Vermont St. via Belgrade Ave."
"370050","37","3","Outbound","LaGrange St. & Corey St. via Baker & Vermont"
"370051","37","_","Inbound","Forest Hills Station via Belgrade Ave."
"370052","37","3","Inbound","Forest Hills Station via Baker & Vermont"
"370053-1","37","B","Inbound","Avenue Louis Pasteur via Forest Hills"
"370053-2","39","H","Inbound","Avenue Louis Pasteur"
"370054-1","39","V","Outbound","Lagrange & Corey via Forest Hills"
"370054-2","37","D","Outbound","Lagrange & Corey"
"380076","38","_","Inbound","Forest Hills Station via Centre St."
"380078","38","7","Inbound","Forest Hills Station via Faulkner Hospital"
"380080","38","_","Outbound","Wren St. via Centre St."
"380081","38","7","Outbound","Baker & Vermont via Faulkner Hospital"
"380082-1","38","D","Inbound","Ave Louis Pasteur via JP Ctr"
"380082-2","39","H","Inbound","Avenue Louis Pasteur"
"380083","38","1","Outbound","Wren St. via Forest Hills"
"380084-1","38","C","Inbound","Ave Louis Pasteur via JP Ctr"
"380084-2","39","H","Inbound","Avenue Louis Pasteur"
"380085-1","39","U","Outbound","Wren St via Forest Hills"
"380085-2","38","A","Outbound","Wren St"
"390079","39","3ou","Outbound","Forest Hills Station via Huntington Ave."
"390088","39","3","Inbound","Back Bay Station via Copley Square"
"390091","39","7","Outbound","Forest Hills Station via Huntington Ave."
"390092","39","7","Inbound","Avenue Louis Pasteur"
"400051","40","2","Inbound","Forest Hills Station via West Boundary Rd."
"400052","40","2","Outbound","Georgetowne via West Boundary Rd."
"400053","40","5","Inbound","Forest Hills Station via Roslindale Square"
"400054","40","_","Outbound","Georgetowne via West Boundary Rd."
"400055","40","_","Inbound","Forest Hills Station via West Boundary Rd."
"400056","40","5ou","Outbound","Cleary Square via Georgetowne"
"410045","41","1","Outbound","Centre St. & Eliot St. via Jackson Station"
"410054","41","_","Inbound","JFK/UMass Station via Jackson Station & Dudley Station"
"410055","41","_","Outbound","Centre St. & Eliot St. via Dudley Station & Jackson Station"
"4110056","411","8ou","Outbound","Jack Satter House"
"4110057","411","8","Inbound","Malden Station via Kennedy Drive"
"4110070","411","1","Inbound","Malden Station via Salem"
"4110071","411","1","Outbound","Kennedy Drive via Salem"
"420029","42","1","Outbound","Forest Hills Station via Washington St."
